Updated Date,Updated By,Cover Title (Work or Edition level),Impression Impression Stage,Edition Product Type,Created By,Created Date,Impression Description,Impression Number
04/03/2019,,BOND 11+ VR UP TO SPEED PRACTICE 10-11,Ready for Final,Book,admin-oup-sap-requisitions,26/10/2018,Reprint - EDUK-16062661,6
04/03/2019,,RWO STG 3:BCK BIND UP:HUNGRY FLOPPY,Ready for Final,Book,admin-oup-sap-requisitions,26/10/2018,Reprint - EDUK-16067442,2
04/03/2019,,OXF JUNIOR ILLUS THESAURUS HB 2018,Ready for Final,Book,admin-oup-sap-requisitions,26/10/2018,Reprint - EDUK-16062851,2
04/03/2019,,RWI PHON:GREEN WORD CARDS NE,Ready for Final,Cards,admin-oup-sap-requisitions,26/10/2018,Reprint - EDUK-16041701,7
04/03/2019,,PWO:START TO WRITE AGE 3-4 BK/STICKER,Ready for Final,Pack,admin-oup-sap-requisitions,26/10/2018,Reprint - EDUK-16062251,3
04/03/2019,,PWO: START TO WRITE AGE 3-4 STICKER,Ready for Final,Sticker,admin-oup-sap-requisitions,26/10/2018,Reprint - EDUK-16062251,3
04/03/2019,,PWO: START TO WRITE AGE 3-4 BK,Ready for Final,Book,admin-oup-sap-requisitions,26/10/2018,Reprint - EDUK-16062251,3
04/03/2019,,RWI PHON:GREEN WORD CARDS PK 10 NE,Ready for Final,Pack,admin-oup-sap-requisitions,26/10/2018,Reprint - EDUK-16041701,7
04/03/2019,,RWI PHON:GREEN WORD CARDS NE,Ready for Final,Cards,admin-oup-sap-requisitions,26/10/2018,Reprint - EDUK-16041701,7
04/03/2019,amelia.kenneth@oup.com,NELSON INTERNATIONAL SCIENCE TG 1,Final,Book,amelia.kenneth@oup.com,26/10/2018,Reprint - EDUK-15987433,7
04/03/2019,amelia.kenneth@oup.com,NELSON INTERNATIONAL SCIENCE TG 2,Final,Book,amelia.kenneth@oup.com,26/10/2018,Reprint - EDUK-15987433,8
04/03/2019,stewart.beale@oup.com,ORT:TREE LEV 13A FIC BLACK DAN N/E,Final,Book,stewart.beale@oup.com,26/10/2018,Reprint - EDUK-16064667,8
04/03/2019,stewart.beale@oup.com,ORT:TREE LEV 13A FIC MONSTER IN WAR N/E,Final,Book,stewart.beale@oup.com,26/10/2018,Reprint - EDUK-16064667,7
04/03/2019,stewart.beale@oup.com,ORT:TREE LEV 13A FIC REVENGE OF CAPT N/E,Final,Book,stewart.beale@oup.com,26/10/2018,Reprint - EDUK-16064667,6
